key,ko,en
ui.title.tap,▮ 접속하려면 탭,▮ TAP TO CONNECT
ui.home.title,작전실,OPS ROOM
ui.home.campaign,캠페인,CAMPAIGN
ui.home.dailyops,작전 요청,FIELD REQUESTS
ui.home.hangar,격납고,HANGAR
ui.home.radiolog,무전 로그,RADIO LOG
ui.home.settings,설정,SETTINGS
ui.common.sortie,출격,SORTIE
ui.common.resortie,재출격,RE-SORTIE
ui.common.approve_supply,보급 승인 — {0} SP,APPROVE SUPPLY — {0} SP
ui.common.signal_lost,신호 두절,SIGNAL LOST
ui.common.confirm,확인,CONFIRM
ui.common.cancel,취소,CANCEL
ui.common.trust_tier,신뢰 등급,TRUST TIER
ui.quota.weekly,주간 쿼터: 확인 격파 {0}/{1},WEEKLY QUOTA: CONFIRMED KILLS {0}/{1}
ui.debrief.title,임무 보고,MISSION REPORT
ui.debrief.confirmed,확인 ✓,CONFIRMED ✓
ui.debrief.unconfirmed,미확인 — 보상 50%,UNCONFIRMED — 50% REWARD
ui.debrief.frame_lost,기체 회수 실패,AIRFRAME NOT RECOVERED
ui.osd.link_establishing,링크 연결 중…,LINK ESTABLISHING…
story.prologue.minister.001,[전군 공지 — 국방혁신부] 오늘부로 보급 체계를 바꿉니다. 연공서열도 서류도 아닙니다. 격파를 증명하면 장비가 갑니다. 여러분의 화면이 곧 보급창구입니다. — 장관 소린,[ALL-FORCES NOTICE — MINISTRY OF DEFENSE INNOVATION] As of today the supply system changes. Not seniority. Not paperwork. Prove your kills and the gear will come. Your screen is your supply depot. — Minister Sorin
story.prologue.vadym.001,장관이라는 게 나보다 어려. …그래도 저 말은 맞다. 여기선 증명한 놈만 산다. 가자 애송이.,The minister is younger than me. ...Still he's right. Out here only the proven survive. Move it rookie.
story.prologue.vadym.002,스틱은 부드럽게. 기체가 네 손을 믿게 만들어.,Easy on the sticks. Make the airframe trust your hands.
story.prologue.vadym.003,링 코스 세 바퀴. 떨어뜨리면 네 월급에서 깐다. 농담이다. …반쯤은.,Three laps through the rings. Crash it and it's coming out of your pay. Joking. ...Half joking.
story.ch1.brief.title,강철 사냥,STEEL HUNT
story.ch1.brief.situation,연방군 보급 트럭들이 K-7 도로로 남하 중이다. 전선의 놈들 입에 들어갈 물자다.,Federation supply trucks are moving south on route K-7. That cargo feeds their front line.
story.ch1.brief.objective,트럭 2대 격파. 종대를 세워라.,Destroy 2 trucks. Stop the column.
story.ch1.brief.tip,놈들 뒤를 잡아라. 정면은 기관총이 본다.,Come in from behind. The front is watched by machine guns.
story.ch1.brief.flavor,배터리 아끼지 마라. 아낀 배터리로 관 짜는 꼴 본다.,Don't ration the battery. I've seen saved batteries turn into coffins.
story.ch1.radio.first_contact,보인다. 침착해라. 표적은 도망 안 간다. 네가 흔들릴 뿐이지.,There it is. Stay calm. The target won't run. Only your hands will.
story.ch1.radio.first_kill,…명중. 첫 격파다. 숨 쉬어라 루키. 아직 한 대 남았다.,...Hit. That's your first kill. Breathe rookie. One more to go.
story.ch1.radio.confirm_teach,끝이 아니다. 고스트가 사진을 찍어야 실적이 된다. 확인 없는 격파는 소문일 뿐이야.,Not done yet. It only counts when Ghost gets the photo. An unconfirmed kill is just a rumor.
story.ch1.ghost.confirm,확인했다. 잘 가라 고철.,Confirmed. Rest easy scrap.
story.ch1.debrief.vadym,손이 떨리는 건 정상이다. 안 떨리기 시작하면 그때 걱정해라.,Shaking hands are normal. Start worrying the day they don't.
story.ch1.minister.quota_intro,[국방혁신부] 첫 실적 확인. 시스템은 약속을 지킵니다. 격납고를 확인하십시오. — 소린,[MODI] First results confirmed. The system keeps its word. Check your hangar. — Sorin
radio.event.fratricide_warning,전 채널 주의 — B중대 구역에 아군 정찰기 활동 중. 식별 확인 후 격발.,All channels — friendly recon active in Company B sector. Verify before you fire.
radio.event.interceptor_warning,레이더 접촉 — 6시 방향 적 요격기 추정. 고도 낮춰라.,Radar contact — probable hostile interceptor your six. Get low.
radio.event.ammo_truck_bonus,적재물 유폭 확인. 탄약 수송이었다. 보너스 SP 승인.,Secondary detonation confirmed. That was an ammo run. Bonus SP approved.
radio.event.jamming_surge,K-구역 전자전 활성 — 신호 품질 저하 예상. 광섬유 기체 권장.,EW active in sector K — expect signal degradation. Fiber-optic airframe advised.
item.frame.sparrow7.name,스패로우-7,SPARROW-7
item.frame.hornet10.name,호넷-10,HORNET-10
item.cam.thermal.name,열화상 "레드아이",THERMAL "REDEYE"
item.pwr.steadywing.name,자이로 안정화 "스테디윙",GYRO STABILIZER "STEADYWING"
ui.pad.throttle_yaw,스로틀 / 요,THROTTLE / YAW
ui.pad.pitch_roll,전후 / 좌우,PITCH / ROLL
ui.pad.up,상승,UP
ui.pad.down,하강,DOWN
ui.pad.turn_left,◀회전,◀YAW
ui.pad.turn_right,회전▶,YAW▶
ui.pad.forward,전진,FWD
ui.pad.back,후진,BACK
ui.pad.left,◀좌,◀LEFT
ui.pad.right,우▶,RIGHT▶
ui.cam.cycle,화면,VIEW
threat.a1.name,산탄총,SHOTGUN
threat.a1.advice,고도 {0}m 이상 또는 {1}m 이하로 통과,PASS ABOVE {0}m OR BELOW {1}m
threat.b1.name,재밍 돔,JAMMER DOME
ui.rotate,기기를 가로로 돌리세요,ROTATE DEVICE TO LANDSCAPE
mission.m2.title,강철 사냥,STEEL HUNT
debrief.win,임무 완수,MISSION COMPLETE
debrief.loss,임무 실패,MISSION FAILED
debrief.kills,격파 {0}/{1},KILLS {0}/{1}
debrief.time,체공 {0}초,AIRBORNE {0}S
debrief.cause,손실 원인: {0},LOSS: {0}
debrief.causeThreat,격추 원인: {0} — 접근 고도 {1}m,SHOT DOWN: {0} AT {1}M AGL
debrief.advice,권고: {0},ADVISORY: {0}
debrief.redeploy,재출격,REDEPLOY
cause.ground,지면 충돌,GROUND IMPACT
cause.structure,구조물 충돌,STRUCTURE IMPACT
cause.battery,배터리 소진,BATTERY DEPLETED
cause.strike,자폭 돌입,SELF-DESTRUCT RUN
cause.ao,작전 구역 이탈,LEFT AO COVERAGE
loadout.sortie,▶ 출격,▶ SORTIE
loadout.sp,SP {0},SP {0}
loadout.stats,전과 {0} · 손실 {1} · 체공 {2}분,KILLS {0} · LOST {1} · {2}MIN
loadout.assist,어시스트,ASSIST
loadout.stick,스틱 모드,STICK MODE
assist.full,풀 어시스트,FULL ASSIST
assist.semi,세미 (앵글),SEMI / ANGLE
assist.acro,아크로 (레이트),ACRO / RATE
debrief.sp,+{0} SP — 잔액 {1},+{0} SP — TOTAL {1}
loadout.lang,언어,LANGUAGE
loadout.video,화질,VIDEO
video.standard,디지털 HD,DIGITAL HD
video.analog,아날로그 480p,ANALOG 480P
brief.speaker,[발신: 바딤 상사],[FROM: SGT. VADIM]
brief.label.op,■ 작전명:,■ OPERATION:
brief.label.situation,■ 상황:,■ SITUATION:
brief.label.objective,■ 임무:,■ MISSION:
brief.label.tip,■ 조언:,■ ADVICE:
brief.m2.situation,연방군 트럭 종대가 K-7 도로로 남하 중이다. 표적 구역 상공엔 재밍 돔이 있다.,FEDERATION TRUCK CONVOY MOVING SOUTH ON ROUTE K-7. JAMMER DOME COVERS THE TARGET AREA.
brief.m2.objective,트럭 1대 격파. 기체째 박아라 — 그게 네 탄두다.,DESTROY ONE TRUCK. RAM IT — THE AIRFRAME IS YOUR WARHEAD.
brief.m2.tip,참호의 산탄총은 30m 위나 6m 아래로 피해라. 화면이 끓는 건 재밍이다 — 고장이 아니니 밀어붙여라.,DODGE THE SHOTGUN: ABOVE 30M OR UNDER 6M. STATIC MEANS JAMMING — NOT A FAULT. PUSH THROUGH.
brief.m2.flavor,"""배터리 아끼지 마라. 아낀 배터리로 관 짜는 꼴 본다.""","""DON'T SAVE THE BATTERY. SAVED BATTERIES BUILD COFFINS."""
brief.launch,▶ 링크 수립,▶ ESTABLISH LINK
radio.m2.nav,고스트: 종대는 남동쪽 도로에 있다. 수목선을 따라가라.,GHOST: CONVOY IS SOUTHEAST ON THE ROAD. FOLLOW THE TREELINE.
radio.m2.kill,"고스트: 확인했다. 잘 가라, 고철.","GHOST: CONFIRMED. REST EASY, SCRAP."
radio.threat.a1,바딤: 산탄총이다! 위로 뽑든가 바닥에 붙어!,VADIM: SHOTGUN! CLIMB OR HUG THE DIRT!
radio.ao.warn,바딤: 커버리지 끝이다. 돌아와!,VADIM: EDGE OF COVERAGE. TURN BACK!
hud.objective,TGT {0}/{1},TGT {0}/{1}
title.tagline,저화질 FPV 전쟁 시뮬레이터,LOW-FIDELITY FPV WAR SIMULATOR
story.skip,건너뛰기 ▸,SKIP ▸
story.next,▸ 계속,▸ CONTINUE
story.prologue.header,[전군 공지 — 국방혁신부],[ALL-FORCES NOTICE — MINISTRY OF DEFENSE INNOVATION]
story.prologue.minister,"""오늘부로 보급 체계를 바꿉니다. 연공서열도, 서류도 아닙니다. 격파를 증명하면, 장비가 갑니다. 여러분의 화면이 곧 보급창구입니다."" — 장관 소린","""EFFECTIVE TODAY, SUPPLY CHANGES. NOT SENIORITY. NOT PAPERWORK. PROVE YOUR KILLS, AND EQUIPMENT MOVES. YOUR SCREEN IS YOUR SUPPLY LINE."" — MINISTER SORIN"
story.prologue.vadim,"바딤: ""장관이라는 게 나보다 어려. …그래도 저 말은 맞다. 여기선 증명한 놈만 산다. 가자, 애송이.""","VADIM: ""THE MINISTER IS YOUNGER THAN ME. …STILL, HE'S RIGHT. OUT HERE, ONLY THE PROVEN SURVIVE. MOVE, ROOKIE."""
story.prologue.context,징집 3주차. 원래 직업은 배달 라이더 — 드론 감각이 있다는 이유로 속성 교육 후 동부 전선 투입. 당신은 참호가 아니라 지하 벙커의 모니터 앞에 있다.,THIRD WEEK SINCE CONSCRIPTION. YOU WERE A DELIVERY RIDER — DRAFTED FOR YOUR DRONE HANDS. YOU ARE NOT IN THE TRENCH. YOU ARE IN A BUNKER IN FRONT OF A MONITOR.
loadout.hangar,격납고,HANGAR
hangar.title,격납고,HANGAR
hangar.back,◂ 작전실,◂ OPS ROOM
hangar.equipped,운용 중,IN SERVICE
hangar.select,배치,DEPLOY
hangar.buy,보급 요청 {0} SP,REQUISITION {0} SP
hangar.locked,SP 부족,INSUFFICIENT SP
frame.sparrow7.name,스패로우-7,SPARROW-7
frame.sparrow7.desc,훈련용 개조 기체. 소모품 취급이라 재고 무제한 — 잃어도 아무도 묻지 않는다.,CONVERTED TRAINER. EXPENDABLE — NOBODY ASKS ABOUT LOSSES.
frame.sparrow7.stat,배터리 180초 · 탄두 1,BATTERY 180S · WARHEAD 1
frame.hornet10.name,호넷-10,HORNET-10
frame.hornet10.desc,전선 표준 타격 기체. 대용량 셀 — 더 멀리 가고 더 오래 버틴다.,FRONTLINE STANDARD STRIKE FRAME. HIGH-CAPACITY CELL — FLIES FARTHER AND LASTS LONGER.
frame.hornet10.stat,배터리 234초 (+30%) · 탄두 1,BATTERY 234S (+30%) · WARHEAD 1
